age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
56,Private,48079,HS-grad,9,Never-married,Handlers-cleaners,Husband,Asian-Pac-Islander,Female,3670,15,77,India,>50K
69,Without-pay,54220,Assoc-voc,11,Divorced,Tech-support,Husband,White,Male,2088,38,71,United-States,>50K
40,Private,161563,Some-college,10,Widowed,Craft-repair,Not-in-family,White,Male,827,119,76,United-States,<=50K
42,Private,122878,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Female,1269,93,37,Mexico,>50K
76,Private,126583,HS-grad,9,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,3902,33,4,Cuba,>50K
57,Private,58720,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,709,1,2,United-States,>50K
45,Self-emp-not-inc,241876,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Wife,Black,Female,5147,38,44,Cuba,>50K
31,State-gov,24718,Masters,14,Never-married,Farming-fishing,Unmarried,White,Female,522,61,67,United-States,<=50K
61,Private,438813,Assoc-voc,11,Never-married,Other-service,Wife,White,Male,2768,20,68,United-States,>50K
81,Private,333361,Some-college,10,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,1991,5,76,United-States,>50K
87,Private,372812,Some-college,10,Divorced,Sales,Unmarried,White,Male,2769,16,83,United-States,>50K
25,Without-pay,167904,HS-grad,9,Divorced,Handlers-cleaners,Own-child,Asian-Pac-Islander,Female,1150,73,74,United-States,<=50K
17,Federal-gov,458034,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,5395,21,62,India,>50K
24,Private,238470,Some-college,10,Separated,Craft-repair,Own-child,Other,Male,2001,83,1,Canada,>50K
79,Private,416080,HS-grad,9,Never-married,Machine-op-inspct,Husband,Black,Female,680,19,17,United-States,<=50K
27,Self-emp-not-inc,98378,HS-grad,9,Never-married,Adm-clerical,Wife,White,Female,2034,8,16,United-States,<=50K
24,Private,18177,Bachelors,13,Never-married,Farming-fishing,Own-child,White,Male,676,28,9,United-States,<=50K
51,Without-pay,187187,Masters,14,Divorced,Farming-fishing,Husband,White,Male,695,30,53,United-States,<=50K
51,Private,394462,10th,6,Separated,Adm-clerical,Husband,Asian-Pac-Islander,Female,1020,0,73,United-States,<=50K
49,Private,247307,11th,7,Never-married,Farming-fishing,Other-relative,White,Female,3826,6,59,United-States,>50K
21,Private,459426,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Female,1387,10,9,Canada,<=50K
57,Private,455170,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,2272,6,12,United-States,>50K
44,Private,121145,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,995,20,41,United-States,<=50K
23,Local-gov,415060,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Male,611,167,15,United-States,<=50K
89,Private,215202,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,6186,35,66,United-States,>50K
88,Private,23418,Some-college,10,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,1850,49,75,Mexico,>50K
28,Private,175926,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Other-relative,White,Female,5434,22,11,United-States,>50K
50,Private,491860,Some-college,10,Widowed,Other-service,Husband,Black,Male,454,19,8,United-States,<=50K
49,Private,479171,Bachelors,13,Never-married,Exec-managerial,Husband,White,Male,317,1,55,United-States,<=50K
64,Private,98075,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Other,Female,3873,34,96,United-States,>50K
39,Self-emp-not-inc,447166,HS-grad,9,Never-married,Prof-specialty,Unmarried,White,Male,2284,33,6,United-States,>50K
78,Private,337371,Some-college,10,Divorced,Handlers-cleaners,Not-in-family,White,Male,413,8,53,United-States,<=50K
53,Private,416051,Some-college,10,Widowed,Handlers-cleaners,Husband,White,Male,627,72,20,United-States,<=50K
60,Private,289677,HS-grad,9,Divorced,Tech-support,Husband,White,Female,3225,33,39,United-States,>50K
51,Self-emp-not-inc,498267,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,1209,20,72,United-States,>50K
81,Never-worked,373601,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Male,2220,7,34,United-States,>50K
63,Local-gov,379648,HS-grad,9,Never-married,Farming-fishing,Wife,White,Female,766,40,57,United-States,<=50K
19,Private,228930,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Female,960,69,19,United-States,<=50K
17,Private,413439,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,9358,16,71,Canada,>50K
21,Private,134202,11th,7,Married-civ-spouse,Tech-support,Own-child,White,Female,569,12,31,United-States,<=50K
30,Private,20273,HS-grad,9,Never-married,Other-service,Husband,White,Female,1412,36,82,United-States,<=50K
43,Private,43519,Some-college,10,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,3720,8,40,United-States,>50K
25,Private,165232,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Male,546,54,14,United-States,<=50K
31,Private,399168,Assoc-acdm,12,Widowed,Exec-managerial,Husband,Asian-Pac-Islander,Male,1073,46,81,United-States,<=50K
58,Private,477601,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,1909,4,37,India,>50K
67,Local-gov,396684,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Own-child,White,Female,1312,1,44,United-States,>50K
79,Private,494408,Some-college,10,Never-married,Adm-clerical,Wife,White,Female,1230,48,9,United-States,>50K
68,Private,190060,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Female,900,17,58,United-States,>50K
20,Self-emp-not-inc,413564,HS-grad,9,Divorced,Sales,Husband,White,Male,1766,4,20,Germany,>50K
39,Private,93460,HS-grad,9,Widowed,Handlers-cleaners,Wife,White,Female,1958,71,92,United-States,<=50K
31,Self-emp-not-inc,258792,Masters,14,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Female,2118,18,50,United-States,>50K
59,Private,114471,Some-college,10,Divorced,Craft-repair,Other-relative,White,Female,145,30,20,Canada,<=50K
45,Private,114668,Some-college,10,Never-married,Farming-fishing,Husband,White,Female,1994,13,36,United-States,>50K
52,State-gov,339663,Masters,14,Never-married,Machine-op-inspct,Husband,White,Female,6125,49,27,United-States,>50K
29,Local-gov,362570,Masters,14,Married-civ-spouse,Handlers-cleaners,Unmarried,White,Female,1557,17,72,United-States,>50K
48,Self-emp-not-inc,24629,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Female,2512,172,32,United-States,>50K
87,Private,321200,Bachelors,13,Divorced,Machine-op-inspct,Not-in-family,Other,Female,1627,60,1,United-States,>50K
75,Private,283417,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,3858,7,17,United-States,>50K
44,Private,130484,Masters,14,Married-civ-spouse,Tech-support,Husband,Black,Male,5306,26,9,United-States,>50K
82,Private,107275,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Female,407,24,84,India,>50K
58,Without-pay,443632,11th,7,Married-civ-spouse,Sales,Own-child,White,Male,1148,38,45,India,<=50K
61,Private,148966,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Female,996,92,96,United-States,<=50K
78,Never-worked,56073,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,1039,43,66,United-States,<=50K
73,Private,55693,HS-grad,9,Never-married,Exec-managerial,Husband,White,Female,268,3,32,United-States,<=50K
22,Private,192538,HS-grad,9,Never-married,Farming-fishing,Husband,White,Male,3359,53,45,United-States,>50K
44,Private,296487,HS-grad,9,Never-married,Sales,Husband,Black,Male,72,0,9,United-States,<=50K
44,Federal-gov,53095,11th,7,Married-civ-spouse,Prof-specialty,Wife,White,Female,1502,75,30,United-States,>50K
60,Local-gov,172246,HS-grad,9,Never-married,Exec-managerial,Husband,White,Male,2168,54,84,United-States,>50K
46,Local-gov,454017,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Male,465,18,38,United-States,<=50K
78,Self-emp-not-inc,132388,Masters,14,Never-married,Farming-fishing,Own-child,Black,Male,4725,17,60,United-States,>50K
78,Self-emp-not-inc,250787,Some-college,10,Separated,Handlers-cleaners,Own-child,White,Female,3647,80,1,United-States,>50K
17,State-gov,213508,Masters,14,Married-civ-spouse,Sales,Unmarried,White,Male,1273,76,5,United-States,>50K
43,Private,124441,HS-grad,9,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Female,1059,21,63,United-States,<=50K
78,Private,472552,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Female,539,17,36,United-States,<=50K
19,Private,110782,HS-grad,9,Divorced,Sales,Unmarried,White,Female,2618,41,65,United-States,>50K
86,Never-worked,268019,HS-grad,9,Married-civ-spouse,Sales,Not-in-family,White,Female,282,0,78,United-States,<=50K
88,Never-worked,249343,11th,7,Married-civ-spouse,Other-service,Not-in-family,White,Female,2280,4,73,United-States,>50K
43,Private,446142,HS-grad,9,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,3696,6,94,United-States,>50K
25,Self-emp-not-inc,344734,Some-college,10,Never-married,Exec-managerial,Wife,White,Female,518,10,24,United-States,<=50K
78,Without-pay,442043,Some-college,10,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,4026,35,4,Mexico,>50K
53,Private,118263,Some-college,10,Never-married,Handlers-cleaners,Husband,White,Female,67,242,78,United-States,<=50K
67,Private,447991,Doctorate,16,Married-civ-spouse,Sales,Not-in-family,White,Male,4878,52,89,United-States,>50K
60,Without-pay,444417,HS-grad,9,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Female,251,3,68,United-States,<=50K
40,Private,301517,Bachelors,13,Never-married,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,2075,37,25,India,>50K
75,Self-emp-not-inc,299669,10th,6,Married-civ-spouse,Prof-specialty,Husband,White,Male,575,34,74,United-States,<=50K
48,Private,399860,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Female,3622,7,7,United-States,>50K
68,Without-pay,376657,11th,7,Never-married,Craft-repair,Not-in-family,White,Female,1436,126,13,United-States,>50K
78,Never-worked,475867,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,290,29,68,United-States,>50K
74,Never-worked,139401,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Female,1692,260,43,United-States,>50K
68,Private,106643,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Female,1048,27,57,United-States,<=50K
28,State-gov,171558,Masters,14,Widowed,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,2166,46,36,Mexico,>50K
55,State-gov,481820,10th,6,Never-married,Sales,Not-in-family,White,Female,4272,5,14,United-States,>50K
18,Private,159712,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,1053,30,82,Canada,<=50K
19,State-gov,369838,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,684,13,72,United-States,<=50K
72,Private,202527,HS-grad,9,Married-civ-spouse,Craft-repair,Unmarried,White,Female,29,90,96,Cuba,<=50K
75,Private,46136,Bachelors,13,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Female,1710,76,27,United-States,>50K
18,Private,465641,Some-college,10,Never-married,Sales,Husband,White,Male,1029,86,37,United-States,<=50K
18,Private,66539,10th,6,Married-civ-spouse,Prof-specialty,Husband,White,Male,938,64,87,India,<=50K
70,Private,222736,Bachelors,13,Married-civ-spouse,Sales,Unmarried,Asian-Pac-Islander,Female,404,89,71,Mexico,<=50K
17,Self-emp-not-inc,428158,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,1124,11,76,United-States,<=50K
35,Private,78363,HS-grad,9,Married-civ-spouse,Sales,Not-in-family,Other,Male,8326,30,25,United-States,>50K
18,Self-emp-not-inc,199668,HS-grad,9,Married-spouse-absent,Adm-clerical,Husband,White,Male,706,58,67,Mexico,<=50K
69,Private,91526,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1831,50,90,United-States,>50K
60,Private,307399,HS-grad,9,Divorced,Other-service,Husband,White,Male,2996,63,4,United-States,>50K
48,Private,203201,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,White,Female,2765,12,79,Mexico,>50K
86,Local-gov,488739,Bachelors,13,Widowed,Prof-specialty,Unmarried,White,Male,797,5,96,United-States,<=50K
48,Private,128209,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,1887,124,93,United-States,>50K
84,Private,252723,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,4099,41,74,United-States,>50K
71,Federal-gov,465502,Assoc-acdm,12,Never-married,Adm-clerical,Unmarried,White,Male,31,8,85,United-States,<=50K
72,Private,96437,Masters,14,Never-married,Sales,Husband,White,Male,1144,78,16,United-States,>50K
33,Private,157349,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,507,123,19,Canada,<=50K
54,Private,142715,Masters,14,Married-civ-spouse,Sales,Not-in-family,White,Female,984,9,29,United-States,<=50K
40,Federal-gov,388044,Some-college,10,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,1075,85,51,India,<=50K
85,Private,295873,HS-grad,9,Married-civ-spouse,Craft-repair,Own-child,White,Male,2746,135,18,India,>50K
86,Federal-gov,489839,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,197,139,58,United-States,>50K
27,Private,293962,Some-college,10,Divorced,Sales,Husband,White,Female,1437,122,44,United-States,>50K
32,Never-worked,75555,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Female,1661,39,16,United-States,>50K
89,Local-gov,108979,11th,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,1363,22,65,United-States,>50K
75,Never-worked,63629,Assoc-acdm,12,Never-married,Prof-specialty,Husband,White,Female,2632,0,2,United-States,>50K
86,Private,125296,Bachelors,13,Widowed,Farming-fishing,Own-child,White,Male,968,3,56,United-States,>50K
19,Local-gov,327582,Some-college,10,Never-married,Sales,Husband,Black,Female,5799,28,79,United-States,>50K
36,Private,255821,Some-college,10,Married-civ-spouse,Craft-repair,Wife,Asian-Pac-Islander,Male,1314,25,28,United-States,<=50K
75,Private,281601,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Female,1693,10,65,United-States,>50K
52,Private,200701,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,3492,25,5,United-States,>50K
35,Federal-gov,306066,HS-grad,9,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,643,9,22,United-States,<=50K
83,Never-worked,413036,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Female,156,94,13,United-States,<=50K
35,Local-gov,435966,Assoc-voc,11,Divorced,Sales,Wife,White,Female,2460,17,65,United-States,>50K
36,Private,380266,Some-college,10,Never-married,Other-service,Own-child,White,Male,1319,45,16,United-States,<=50K
87,Private,112020,HS-grad,9,Never-married,Farming-fishing,Husband,White,Male,4536,34,86,United-States,>50K
68,Local-gov,244618,Assoc-voc,11,Married-civ-spouse,Other-service,Own-child,Black,Male,8111,2,64,United-States,>50K
49,Private,178862,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Female,1018,142,32,United-States,<=50K
56,Private,360549,HS-grad,9,Widowed,Exec-managerial,Own-child,White,Female,1073,37,80,United-States,>50K
55,Private,388274,HS-grad,9,Married-civ-spouse,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,1048,19,51,United-States,>50K
17,Private,175493,Some-college,10,Never-married,Exec-managerial,Husband,White,Female,784,8,79,United-States,<=50K
27,Private,340182,Masters,14,Never-married,Craft-repair,Husband,Asian-Pac-Islander,Female,3043,20,58,United-States,>50K
73,Private,259029,Some-college,10,Never-married,Sales,Not-in-family,White,Female,2845,1,46,Canada,>50K
66,Private,223273,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Female,1302,22,52,United-States,>50K
39,Private,72325,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Wife,Asian-Pac-Islander,Female,91,37,63,Cuba,<=50K
47,Never-worked,297744,Assoc-acdm,12,Divorced,Craft-repair,Husband,White,Male,740,102,76,United-States,<=50K
58,Private,432610,Assoc-acdm,12,Never-married,Machine-op-inspct,Husband,White,Male,691,58,60,United-States,<=50K
23,Private,220694,HS-grad,9,Widowed,Tech-support,Not-in-family,White,Female,3332,5,65,United-States,>50K
32,Self-emp-not-inc,272051,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,183,7,81,United-States,<=50K
76,Private,439387,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Female,3276,27,55,United-States,>50K
18,Never-worked,240611,Masters,14,Widowed,Machine-op-inspct,Husband,Black,Male,2212,10,57,United-States,>50K
17,Local-gov,333670,HS-grad,9,Never-married,Tech-support,Wife,Amer-Indian-Eskimo,Male,2636,1,92,United-States,>50K
64,Private,260520,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,Amer-Indian-Eskimo,Female,1132,81,71,United-States,>50K
28,Private,23149,Some-college,10,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,2277,0,73,United-States,>50K
85,Federal-gov,171466,11th,7,Divorced,Sales,Husband,White,Male,1878,88,86,United-States,>50K
53,Never-worked,155468,Some-college,10,Never-married,Handlers-cleaners,Husband,White,Female,2930,7,26,United-States,>50K
48,Private,426540,Some-college,10,Never-married,Farming-fishing,Own-child,Black,Female,1183,183,12,United-States,<=50K
25,Private,188270,HS-grad,9,Married-civ-spouse,Craft-repair,Unmarried,White,Female,1280,46,71,Mexico,<=50K
35,Private,485921,Bachelors,13,Married-civ-spouse,Tech-support,Wife,White,Male,2063,66,46,United-States,>50K
64,Never-worked,122168,Assoc-voc,11,Divorced,Tech-support,Wife,White,Female,228,5,47,United-States,<=50K
19,Private,119813,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Female,1146,99,79,United-States,<=50K
36,Never-worked,363923,Masters,14,Divorced,Exec-managerial,Husband,White,Male,7147,91,38,Philippines,>50K
40,Private,266960,10th,6,Widowed,Farming-fishing,Husband,Other,Female,76,52,21,United-States,<=50K
70,Private,434232,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,Other,Female,759,34,14,United-States,<=50K
49,Private,144266,Some-college,10,Never-married,Craft-repair,Husband,White,Female,754,63,2,United-States,<=50K
40,Private,304542,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Female,2007,0,72,United-States,>50K
88,Private,276933,Assoc-voc,11,Never-married,Machine-op-inspct,Own-child,Other,Male,223,44,70,United-States,<=50K
52,Private,488911,Bachelors,13,Widowed,Sales,Unmarried,White,Male,1980,93,33,United-States,>50K
54,Private,337111,Bachelors,13,Married-civ-spouse,Other-service,Wife,White,Female,199,22,6,Mexico,<=50K
41,Local-gov,250014,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Female,199,5,90,United-States,<=50K
34,Private,202206,Some-college,10,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,2605,27,37,United-States,>50K
82,Private,271041,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Female,783,64,14,United-States,>50K
70,Never-worked,211958,Some-college,10,Never-married,Other-service,Husband,White,Male,7581,5,37,United-States,>50K
51,Federal-gov,370981,HS-grad,9,Separated,Other-service,Not-in-family,White,Male,76,11,8,United-States,<=50K
77,Without-pay,166049,Bachelors,13,Married-civ-spouse,Farming-fishing,Own-child,White,Male,1177,7,77,United-States,>50K
57,Never-worked,111967,Assoc-voc,11,Married-civ-spouse,Tech-support,Unmarried,Other,Male,240,79,13,United-States,<=50K
49,Private,403345,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Black,Female,865,3,40,United-States,>50K
